X1,Rrup,StationCode,EQID,EQdepth,M,EarthquakeLatitude,EarthquakeLongitude,StationLatitude,StationLongitude,Rjb,Vs30,PGA,Lowpass,Highpass,M2,lnRh,MlnRh,lnVs30,lnPGA,useable_period,Mlow,Mmid,Mup,Frv,Fn,ergod_res
42,196.64,24833,ci38443095,10.6,4,35.70817,-117.50367,34.0627,-118.3156,196.51,447.3,3.8747427e-4,7.415389999999999,0.33229000000000003,16,5.281839938994668,21.127359755978674,6.103229510438802,-7.85586111137545,2.4075355863853862,TRUE,FALSE,FALSE,0,0,1.350302192314512
44,177.23,24944,ci38443095,10.6,4,35.70817,-117.50367,34.2302,-118.2528,177.07,351.9,5.4722206e-4,8.71715,0.61437,16,5.178021053197903,20.712084212791613,5.863347044327539,-7.510655878141049,1.302146914725654,TRUE,FALSE,FALSE,0,0,1.2855655972041449
45,184.22,24945,ci38443095,10.6,4,35.70817,-117.50367,34.1632,-118.2554,184.07,351.9,5.333901200000001e-4,8.71715,0.43043,16,5.216660808863967,20.866643235455868,5.863347044327539,-7.536257469072572,1.8586065097693008,TRUE,FALSE,FALSE,0,0,1.364160695119784
47,128.3,ADO,ci38443095,10.6,4,35.70817,-117.50367,34.55046,-117.43391,128.01,293.5,5.073400400000001e-4,14.16105,0.22539,16,4.855463578637343,19.42185431454937,5.681877639268151,-7.586329088850034,3.5494032565774876,TRUE,FALSE,FALSE,0,0,0.3161616702945027
48,134,ALP,ci38443095,10.6,4,35.70817,-117.50367,34.68708,-118.29946,133.73,293.5,1.9039339e-4,15.60413,0.27367,16,4.8988412468195754,19.595364987278302,5.681877639268151,-8.566418152596192,2.9232287061058937,TRUE,FALSE,FALSE,0,0,-0.5630913565139668
49,69.82,APL,ci38443095,10.6,4,35.70817,-117.50367,35.34149,-116.87464,69.15,351.9,8.6373591e-4,13.27392,0.30156,16,4.249599368993971,16.998397475975885,5.863347044327539,-7.054243495605895,2.652871733651678,TRUE,FALSE,FALSE,0,0,-0.30751291761000843
50,135.86,ARV,ci38443095,10.6,4,35.70817,-117.50367,35.1269,-118.83008999999998,135.6,471.5,2.1707573e-4,12.85142,0.26496,16,4.912599184104084,19.650396736416337,6.155919102073512,-8.43526427913021,3.019323671497585,TRUE,FALSE,FALSE,0,0,-0.1520551279464133
51,169.88,ASP,ci38443095,10.6,4,35.70817,-117.50367,35.86114,-119.38511,169.7,228.2,1.2654824e-4,22.27247,0.25653000000000004,16,5.135715634346601,20.542862537386405,5.430222437427975,-8.974886978616276,3.118543640120063,TRUE,FALSE,FALSE,0,0,-0.5166120878941189
52,107.15,AVM,ci38443095,10.6,4,35.70817,-117.50367,35.06562,-116.61549,106.77,710.1,9.7226131e-4,37.5,0.41673,16,4.675795060031403,18.70318024012561,6.565405805188048,-6.935885952185587,1.9197082043529383,TRUE,FALSE,FALSE,0,0,1.0286911310283262
53,154.31,BAI,ci38443095,10.6,4,35.70817,-117.50367,34.77695,-118.77335,154.1,388,1.4356577e-4,14.16105,0.25653000000000004,16,5.039718930062225,20.1588757202489,5.961005339623274,-8.848717300238444,3.118543640120063,TRUE,FALSE,FALSE,0,0,-0.35866514148120743
54,149.76,BAK,ci38443095,10.6,4,35.70817,-117.50367,35.34444000000001,-119.10445,149.54,228.2,2.2344873e-4,9.60547,0.18563,16,5.009835935462407,20.039343741849628,5.430222437427975,-8.406328566199086,4.309648224963638,TRUE,FALSE,FALSE,0,0,-0.2675584486188125
55,168.62,BBR,ci38443095,10.6,4,35.70817,-117.50367,34.2623,-116.92075,168.44,351.9,4.221845400000001e-4,10.24742,0.36615,16,5.128280335842387,20.513121343369548,5.863347044327539,-7.770068040937221,2.184896900177523,TRUE,FALSE,FALSE,0,0,0.8949420106310759
57,192.4,BCW,ci38443095,10.6,4,35.70817,-117.50367,34.940090000000005,-119.41313,192.27,468.4,8.974331e-5,10.24742,0.41673,16,5.260062555027732,21.040250220110927,6.149322631723562,-9.318557073764131,1.9197082043529383,TRUE,FALSE,FALSE,0,0,-0.14931352142361654
58,163.3,BFS,ci38443095,10.6,4,35.70817,-117.50367,34.23883,-117.65853,163.11,700.4,9.910218000000001e-5,10.93228,0.59482,16,5.096263539115611,20.385054156462445,6.551651600411697,-9.219359118888447,1.3449446891496588,TRUE,FALSE,FALSE,0,0,-0.27775501475479203
60,193.87,BLC,ci38443095,10.6,4,35.70817,-117.50367,34.243559999999995,-118.67312,193.73,502.5,1.805338e-4,10.93228,0.29196,16,5.267666509255153,21.07066603702061,6.219595639933231,-8.61959254010413,2.740101383751199,TRUE,FALSE,FALSE,0,0,0.6075579278753018
62,182.87,CAC,ci38443095,10.6,4,35.70817,-117.50367,34.13678,-118.12199,182.72,447.3,1.885437e-4,8.439689999999999,0.33229000000000003,16,5.209313482759956,20.837253931039825,6.103229510438802,-8.576180747705958,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.42951634077802936
64,77.02,CCA,ci38443095,10.6,4,35.70817,-117.50367,35.15252,-118.01649,76.43,293.5,0.001149642,23.76099,0.29196,16,4.347090306821359,17.388361227285436,5.681877639268151,-6.768304689420061,2.740101383751199,TRUE,FALSE,FALSE,0,0,0.0684913118634718
65,25.12,CCC,ci38443095,10.6,4,35.70817,-117.50367,35.52495,-117.36453,23.09,513.7,0.012666985,37.5,0.15289,16,3.2514058174439886,13.005623269775954,6.241639437473222,-4.368756276660706,5.2325201124991825,TRUE,FALSE,FALSE,0,0,0.8837059783917578
67,188.65,CFT,ci38443095,10.6,4,35.70817,-117.50367,34.035470000000004,-117.11241,188.51,447.3,1.1921554e-4,10.58432,0.36615,16,5.240398967551199,20.961595870204796,6.103229510438802,-9.034577442702824,2.184896900177523,TRUE,FALSE,FALSE,0,0,0.05612353589400776
68,97.03,CGO,ci38443095,10.6,4,35.70817,-117.50367,36.5504,-117.80295,96.59,710.1,6.532699499999999e-4,26.18235,0.27367,16,4.576928442219937,18.307713768879747,6.565405805188048,-7.333520114420232,2.9232287061058937,TRUE,FALSE,FALSE,0,0,0.42272947895942004
69,159.41,CHF,ci38443095,10.6,4,35.70817,-117.50367,34.33341,-118.02585,159.21,600.1,1.4795791000000002e-4,18.3434,0.47429,16,5.072187337745368,20.288749350981472,6.397096307995467,-8.818582716539094,1.686731746399882,TRUE,FALSE,FALSE,0,0,-0.019099476468788623
70,190.02,CHN,ci38443095,10.6,4,35.70817,-117.50367,33.99879,-117.68044,189.88,293.5,6.770714e-5,5.72466,0.29196,16,5.247627591434888,20.990510365739553,5.681877639268151,-9.600318918319081,2.740101383751199,TRUE,FALSE,FALSE,0,0,-0.7096546917472573
72,159.27,CJM,ci38443095,10.6,4,35.70817,-117.50367,34.27117,-117.42448,159.07,711.5,2.2782274e-4,16.11713,0.33229000000000003,16,5.0713099574222955,20.285239829689182,6.567375417529907,-8.386942687525941,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.4992224751373957
73,142.77,CJV2,ci38443095,10.6,4,35.70817,-117.50367,34.52978,-118.1445,142.53,680.2,5.975045099999999e-4,17.75955,0.39062,16,4.962117241918453,19.848468967673814,6.522386872573096,-7.4227487260699405,2.0480262147355486,TRUE,FALSE,FALSE,0,0,1.1699385605484647
74,16.87,CLC,ci38443095,10.6,4,35.70817,-117.50367,35.81574000000001,-117.59751,13.85,351.9,0.0048952593,37.5,0.34322,16,2.885092285379386,11.540369141517544,5.863347044327539,-5.319488031981815,2.330866499621234,TRUE,FALSE,FALSE,0,0,-0.8476743300273561
76,179.7,CLT,ci38443095,10.6,4,35.70817,-117.50367,34.09284,-117.31687,179.54,293.5,1.0872461e-4,7.91098,0.25653000000000004,16,5.1918458953594,20.7673835814376,5.681877639268151,-9.126692386518506,3.118543640120063,TRUE,FALSE,FALSE,0,0,-0.38817318719154414
80,167.81,CSL,ci38443095,10.6,4,35.70817,-117.50367,34.49651,-118.61621,167.63,293.5,4.011638700000001e-4,8.17106,0.28267,16,5.1234711788783995,20.493884715513598,5.681877639268151,-7.821140560767167,2.8301553047723496,TRUE,FALSE,FALSE,0,0,0.7366024412036536
82,156.19,CVW,ci38443095,10.6,4,35.70817,-117.50367,34.92217,-118.93913,155.98,401.1,1.8360594e-4,11.29169,0.21822,16,5.051810517544449,20.207242070177795,5.9942107727760074,-8.602718727360052,3.666025112272019,TRUE,FALSE,FALSE,0,0,-0.06503452976519064
83,96,CWC,ci38443095,10.6,4,35.70817,-117.50367,36.43905,-118.0805,95.55,710.1,6.0605038e-4,18.3434,0.34322,16,4.566297511675665,18.26519004670266,6.565405805188048,-7.408547440036977,2.330866499621234,TRUE,FALSE,FALSE,0,0,0.3257351844908758
87,63.05,DAW,ci38443095,10.6,4,35.70817,-117.50367,36.27148,-117.59214,62.3,351.9,0.0010735463,37.5,0.36615,16,4.148435640263942,16.59374256105577,5.863347044327539,-6.836787811626742,2.184896900177523,TRUE,FALSE,FALSE,0,0,-0.2767083679949174
88,177.84,DEC,ci38443095,10.6,4,35.70817,-117.50367,34.25353,-118.33383,177.68,512,3.7478617999999993e-4,14.16105,0.36615,16,5.18145307877673,20.72581231510692,6.238324625039508,-7.889154881278766,2.184896900177523,TRUE,FALSE,FALSE,0,0,1.1120251585194199
90,197.38,DJJ,ci38443095,10.6,4,35.70817,-117.50367,34.10618,-118.45505,197.25,602.3,1.1111638000000001e-4,10.58432,0.57589,16,5.28559261719483,21.14237046877932,6.4007556600496756,-9.104932437442649,1.3891541787494137,TRUE,FALSE,FALSE,0,0,0.2671565003409029
91,197.38,DJJB,ci38443095,10.6,4,35.70817,-117.50367,34.10618,-118.45505,197.25,602.3,6.932519e-5,10.58432,0.32172,16,5.28559261719483,21.14237046877932,6.4007556600496756,-9.57670222575216,2.4866343404202413,TRUE,FALSE,FALSE,0,0,-0.20461328796860734
92,140.94,DSC,ci38443095,10.6,4,35.70817,-117.50367,35.14255,-116.10395,140.69,293.5,9.315412e-5,23.00469,0.28267,16,4.949239605854392,19.796958423417568,5.681877639268151,-9.281255232157799,2.8301553047723496,TRUE,FALSE,FALSE,0,0,-1.158389431114193
93,176.75,DTC,ci38443095,10.6,4,35.70817,-117.50367,34.42416,-118.66191,176.59,447.3,7.325290799999999e-4,10.93228,0.30156,16,5.175312147059563,20.70124858823825,6.103229510438802,-7.21900751820236,2.652871733651678,TRUE,FALSE,FALSE,0,0,1.695233435397399
94,57.94,DTP,ci38443095,10.6,4,35.70817,-117.50367,35.26742,-117.84581,57.11,710.1,0.0011784499000000001,37.5,0.26496,16,4.064741307343467,16.258965229373867,6.565405805188048,-6.743555348159108,3.019323671497585,TRUE,FALSE,FALSE,0,0,0.03222000851061946
95,101.69,EDW2,ci38443095,10.6,4,35.70817,-117.50367,34.881100000000004,-117.99388,101.28,709.3,5.7486067e-4,37.5,0.40347,16,4.623666615151403,18.49466646060561,6.564278568208041,-7.461382859572951,1.9827992167943094,TRUE,FALSE,FALSE,0,0,0.39183628498482115
97,128.86,FDR,ci38443095,10.6,4,35.70817,-117.50367,35.64262,-118.93433,128.57,351.9,4.497904e-4,24.54215,0.33229000000000003,16,4.859809387706938,19.43923755082775,5.863347044327539,-7.706728861485851,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.3005310699014325
98,186.12,FHO,ci38443095,10.6,4,35.70817,-117.50367,34.09355,-116.93588,185.97,685.9,3.7282796e-4,17.75955,0.43043,16,5.2269109778263285,20.907643911305314,6.530731844505276,-7.894393477965197,1.8586065097693008,TRUE,FALSE,FALSE,0,0,1.3824682524437097
100,192.93,FMO,ci38443095,10.6,4,35.70817,-117.50367,34.4092,-118.92121000000002,192.79,293.5,1.5667762e-4,8.439689999999999,0.25653000000000004,16,5.2628107802837425,21.05124312113497,5.681877639268151,-8.761320239478595,3.118543640120063,TRUE,FALSE,FALSE,0,0,0.1715163532295172
102,126.76,FOX2,ci38443095,10.6,4,35.70817,-117.50367,34.7339,-118.24046,126.46,447.3,6.1861874e-4,28.85047,0.28267,16,4.843414513953661,19.373658055814644,6.103229510438802,-7.388021403959427,2.8301553047723496,TRUE,FALSE,FALSE,0,0,0.706783422716474
104,101.7,FUR,ci38443095,10.6,4,35.70817,-117.50367,36.46703,-116.86322,101.29,513.7,0.0011969318,15.60413,0.24836,16,4.623764607292794,18.495058429171177,6.241639437473222,-6.727993829802247,3.221130616846513,TRUE,FALSE,FALSE,0,0,0.9569734127650991
105,169.82,GCC,ci38443095,10.6,4,35.70817,-117.50367,34.32758,-118.31888,169.64,447.3,9.4576572e-4,21.56355,0.48989,16,5.135362821739123,20.54145128695649,6.103229510438802,-6.963515672860488,1.6330196574741267,TRUE,FALSE,FALSE,0,0,1.8452308268217443
108,186.99,GMA,ci38443095,10.6,4,35.70817,-117.50367,34.29148,-116.38256,186.85,293.5,6.3709949e-4,15.10746,0.41673,16,5.231569671340304,20.926278685361215,5.681877639268151,-7.358584729344428,1.9197082043529383,TRUE,FALSE,FALSE,0,0,1.4878361109174785
109,195.67,GMR,ci38443095,10.6,4,35.70817,-117.50367,34.78457,-115.65994,195.54,710.1,1.3377864e-4,24.54215,0.63457,16,5.276899482449079,21.107597929796317,6.565405805188048,-8.919324064269773,1.2606962194872118,TRUE,FALSE,FALSE,0,0,0.5142568884698537
111,176.01,GOU,ci38443095,10.6,4,35.70817,-117.50367,34.22119,-118.18834,175.84,655.1,2.6719337000000003e-4,13.27392,0.44458,16,5.171121503285895,20.68448601314358,6.48478789573783,-8.22753792948388,1.7994511673939448,TRUE,FALSE,FALSE,0,0,0.8747600053293301
112,190.4,GR2,ci38443095,10.6,4,35.70817,-117.50367,34.11816,-118.30024,190.26,578.1,1.5579477e-4,14.16105,0.30156,16,5.24962339812439,20.99849359249756,6.3597468640884305,-8.76697099376886,2.652871733651678,TRUE,FALSE,FALSE,0,0,0.48315069112105746
113,143.13,GRA,ci38443095,10.6,4,35.70817,-117.50367,36.99608,-117.36621,142.89,518.9,1.7137881e-4,17.75955,0.27367,16,4.9646311774787755,19.858524709915102,6.251711186373694,-8.671634188381438,2.9232287061058937,TRUE,FALSE,FALSE,0,0,-0.21420705067765944
